"A acocote nuevo, tlachiquero viejo."
"A tu pueblo grulla, aunque sea en una sola pata."
A un mendrugo con sal le llaman cena.
A unos da Dios ovejas y a otros orejas.
A veces cazar pensamos y cazados quedamos.
A veces el pato nada y a veces ni agua toma.
"A veces, más vale callar por Dios, que hablar de Dios."
"A ""vete de mi casa"" y ""¿qué quieres con mi mujer?""..."
...no hay que responder.
"Abades, rocío de panes."
"Abajejo burros viejos, ya llegamos al paraje donde hemos de descansar."
Abajo está la miel.
Abanicos en verano y los pesos en la mano.
"Abejas que tienen miel, tienen aguijón."
"Abierto el cajón, hasta el más honrado es ladrón."
"Abrazos y besos no hacen niño, pero allanan el camino."
"Abrazos y besos no hacen chiquillos, pero son un buen principio."
"Abre para todos tu boca, pero no para todos tu bolsa."
"Abril frío, mucho pan y poco vino."
"Abuelo tendero, padre caballero y nieto pordiosero."
"Abundancia, crea vagancia."
Aburrido como misa de tres padres.
Acabándose el dinero se termina la amistad.
"Acabar con el trisagio, con toda igualdad."
"Acciones son amores, no besos y apachurrones."
"Aceite de oliva, todo mal quita."
"Aceite lo de encima, vino lo de en medio, miel la del hondón."
"Aceite, vino y amigo, en lo antiguo; y añejo el tocino."
"Aceituna, una docena de docenas."
"Aceituna, una es oro, dos es plata y la tercera mata."
"Aceituna, una es oro, dos es plata y tres son lodo."
"Aceituna una, dos mejor, tres peor."
"Aceituna y pan y queso, eso tiene la corte en peso."
"Acertar errando, sucede de vez en cuando."
Acogí un ratón en mi agujero y volviose mi heredero.
"Acostándome con Luz, aunque me apaguen la vela."
"Acuéstate a las seis, levántate a las seis y vivirás diez veces diez."
Acuéstate sin cena y amanecerás sin deuda.
"Adelante con la cruz, que el diablo se lleva al muerto."
"Adonde el corazón se inclina, el pie camina."
"¿Adonde irá el buey, que no are?."
"Adonde no se meten, se asoman."
Adonde no te llaman no te quieren.
Adonde va el violín va la bolsa.
"¿Adónde va Vicente?, adonde va la gente."
"¿Adónde vas más?, ¡Adonde hay más!."
¿Adonde vas que más valgas?.
Aferra la verdad y no pases de ella.
"Afortunado en el juego, desafortunado en amores."
Agachose mi nuera y enseñome el fuego de su caldera.
"Agua antes de las tres, buena tarde es. (Aguacero antes de...)"
"Agua blanda en piedra dura, a la larga, cavadura."
"Agua corriente no mata a la gente; agua sin correr, puede suceder."
"Agua de las verdes cañas, tú me tumbas,"
tú me matas y me haces andar a gatas.
Agua le pido a Dios y a los aguadores nada.
Agua le pido a mi Dios para regar un plan que tengo;
este año compro una yunta y el año que viene siembro.
"Agua no enferma, ni embeoda ni adeuda."
"Agua pasada, no mueve molino."
Agua que corre nunca mal coge.
"Agua que no corre, es charco."
Agua que no corre tiene resumidero.
"Agua que no has de beber, déjala correr. (..., jala la cadena)."
"Agua que no has de beber, no la pongas a hervir."
"Agua que pasó, molino no mueve."
Agua tras harina va.
"Aguacate maduro, pedo seguro."
"Aguacates y muchachas, maduran a puro apretón."
Aguadores y lecheros del agua hacen sus dineros.
"Agujero, aunque sea de caballero."
"Ahí hay lodo, abajo hay agua."
"Ahora que jurar te veo, menos te creo"
"Aire por detrás, sólo el que sale es bueno."
"Al agradecido, más de lo pedido."
Al amante que es osado darle de lado.
"Al amigo que no es cierto, con un ojo cerrado y con otro abierto."
"Al amigo, sin razón; al enemigo, ni con ella."
"Al amigo vicioso, tratarlo poco."
"Al amigo y al caballo, ni prestarlo ni cansarlo."
"Al amigo y al caballo, no apretarlo ni apurarlo."
Al árbol caído todos le dan con el pie.
"Al arrendar cantar, al pagar llorar."
"Al artesano, con el dinero en la mano."
"Al asno de muchos, lobos se lo comen."
"Al asno muerto, la cebada al rabo. (Al burro muerto...)"
"Al asno y al mulo, la carga al culo."
"Al ave de paso, cañonazo."
Al borrego trasquilado Diosito le mide el frío.
"Al buen bailador, bástale poco son."
Al buen día mételo en la casa.
Al buen jugador no le duelen prendas.
"Al buen jugador, la pelota le viene."
Al buen marino se le conoce en la tormenta.
"Al burro que es flojo, aunque le hagan pelos."
Al burro viejo carga pesada y a veces sin aparejo.
Al caballo con la rienda y a la mujer con la espuela.
"Al caballo del ronzal, al becerro bozal."
"Al caballo manso, cébalo en el campo."
"Al caballo palpado, nunca lo montes confiado."
"Al caballo y a los hombres, por enfrente."
"Al cabo cuando ellas quieren, solitas se dan lugar."
"Al cabo de cien años, todos seremos calvos."
"Al cabo de la vejez, cascabeles en los pies."
"Al cabo de los años mil, vuelven las aguas por do solían ir."
Al cabo de tanto andar nos ha de salir un callo.
Al cabo la muerte es flaca y no ha de poder conmigo.
"Al cabo p'al santo que's, con un repique basta."
"Al cabo p'al santo que's, con una limosna tiene."
"Al Cesar lo que es del Cesar y a Dios, que te vaya bien."
"Al colgado, jalarle los pies."
"Al diablo la muerte, mientras la vida nos dure."
"Al enfermo, lo que pida."
"Al español, puerta franca, al gachupín, ponle tranca."
"Al fisgón, cuando menos un trompón."
"Al flojo, mandarle y al mezquino, pedirle."
"Al haber ganado, no hay pasto."
"Al haber gatos, no hay ratones."
"Al hablar como al guisar, pon el granito de sal."
Al hambre no hay ley.
"Al hijo del azor, nunca le falta carne."
"Al hombre harto, las cerezas amargan."
Al hombre lo ganas por el estómago
Al hombre osado la fortuna le da la mano.
Al hombre por la palabra y al buey por el cuerno.
"Al jacal viejo, no le faltan goteras."
"Al llegar a la vejez, se oye y se mira lo que no es."
"Al maguey que no da pulque, ni pa'que arrimarle el guaje."
"Al maguey que no da pulque, no hay que arrimarle acocote."
"Al mal de muerte, no hay médico que le acierte."
"Al mal músico, hasta las uñas le estorban. (Al que es mal músico...)"
Al mal pagador nunca le faltan excusas.
Al mal paso darle prisa. (...darle Gerber).
Al mal que trae su ganancia cualquiera se le abalanza.
"Al mal sastre, hasta las uñas le estorban."
"Al mal tiempo, buena cara."
"Al más ruin puerco, la mejor bellota."
Al más vivo se le va la perra.
Al mejor cazador se le va la liebre.
Al mejor cocinero se le va un tomate entero. (...un garbanzo entero.)
"Al mejor papa, le han de gustar los chiles de Xalapa."
Al mejor vaquero se le va la vaca al monte.
"Al melón y al huevo, agua luego luego."
"Al mentiroso, cuando dice la verdad, no le dan autoridad."
"Al mestizo, el diablo lo hizo; al indito, el Dios bendito."
"Al muerto y al consorte, a los tres días no hay quien los soporte."
"Al músico viejo, le queda el compás."
Al niño que al mal se inclina metérselo en la pretina.
"Al no le hace, ni l'hacha le entra."
"Al ""no"" ni los balazos le entran."
"Al nopal lo van a ver, solo cuando tiene tunas."
"Al ojo del amo, engorda el caballo."
"Al país que fueres, haz lo que vieres."
"Al palo caído, hacerlo leña."
"Al pan, pan; y al vino, vino."
Al peligro con tiento y al remedio con tiempo.
"Al perro mas flaco, se le cargan las pulgas."
Al pescado que se duerme se lo lleva la corriente.
Al picado de alacrán hasta su sombra lo espanta.
Al pie de la palma cae el coyol.
"Al platicar, como amigos; y al tratar, como enemigos."
"Al pobre más le valdría estar muerto que vivo: Si tiene pan,..."
"no tiene sal: Si tiene sal, no tiene pan; Si hay carne...."
"no tiene cordero: Si hay cordero, no tiene carne."
"Al potro y al niño, con cariño."
"Al primer trueno de mayo, salta la liebre y retoza el caballo."
"Al puerco y a la rana, no hay que sacarlos del charco. (... del lodo)"
"Al que apunta y después da la cuenta, bien le saldrá."
"Al que agravia se le olvida, pero al agraviado no."
Al que casare con mujer rica ella le manda y ella le grita.
Al que come bien el pan es pecado darle ajo.
Al que come bien frijoles es pecado darle carne.
"Al que comercia en canastas, nunca le faltan tompiates."
Al que consuela no le duele la muela.
Al que de ajeno se viste en la calle lo desvisten.
"Al que de ti se fía, no le hagas picardía."
Al que deseares ver muerto años cumplirá por ciento.
"Al que Dios ayuda, presto enviuda."
Al que Dios da buena ayuda la mujer se le hace muda.
"Al que Dios da, da a manos llenas."
"Al que Dios le quiere dar, por la tronera le ha de entrar. (A quien...)"
"Al que Dios quiere perder, lo ciega primero."
"Al que en sufrir no es ducho, poco mal se le hace mucho."
"Al que anda entre miel, algo se le pega."
Al que es cerrado de sienes Dios suele darle otros bienes.
Al que es desdichado todo le cuenta pecado.
Al que es dulce se lo comen las hormigas.
"Al que es negro de nación, no lo blanquea ni el jabón."
Al que está desahuciado nada le está vedado.
Al que está enfermo todo le sabe a cuerno.
"Al que gasta cuanto gana, mala vejez le aguarda."
"Al que ha de ser barrigón, aunque lo fajen de chico."
Al que ha de tener fortuna le viene desde la cuna.
Al que hiere con la boca curar con ella le toca.
Al que le asusta su nombre le preocupa su persona.
Al que le barren los pies suele casarse con viuda.
"Al que le duela la muela, que se la saque."
"Al que le duele, le duele."
"Al que le pican, se bulle."
"Al que le quieren dar vida, le dan."
Al que le ven caballo le ofrecen silla.
"Al que le venga el saco que se lo ponga, si no, que lo componga."
"Al que madruga, Dios le ayuda. (Dios lo arruga)"
Al que mal hace nunca le falta el achaque.
"Al que mal vive, el miedo lo sigue."
Al que más hace se le agradece menos.
"Al que mata un perro, le dicen mataperros."
Al que mejor administre no el bolsillo se registre.
"Al que miedo han, lo suyo le dan."
"Al que monta caballo bayo, que lo engañe su mujer..."
...o que lo parta un rayo.
Al que mucho tiene mucho más le viene.
"Al que nace pa'nopal, del cielo le caen las tunas."
"Al que nace pa'tamal, del cielo le caen las hojas."
"Al que nació martillo, del cielo le caen los clavos."
"Al que nació señalado, no le traigas a tu lado."
Al que no es leal en lo poco no le fíes lo mucho.
Al que no está hecho a bragas las costuras le hacen llagas.
"Al que no ha tenido y tiene, quehacer le viene."
Al que no ha usado guaraches las correas le sacan sangre.
"Al que no habla, Dios no lo oye."
"Al que no le guste el aigre, que me cante la tonada."
"Al que no le guste el fuste, que lo tire y monte a pelo. (..y monte a rais.)"
Al que no le saben le inventan.
"Al que no quiera avena, la taza llena."
"Al que no quiera caldo, dos tazas."
"Al que no quiere sopa, le colman el plato."
Al que no se ocupa de su negocio nunca le confiaré el mío.
Al que nunca se queja nunca se le compadece.
"Al que pide le has de dar, pues tiene necesidad."
Al que primero gana el diablo es que le engaña.
Al que puede y no yerra más por muy bueno lo tendrás.
Al que quiere consolarse nunca le falta consuelo.
"Al que quiere su perro matar, fácil le es excusa hallar."
Al que se acueste con luz aunque le apaguen la vela.
"Al que se agacha mucho, se le mira lo que al chucho."
Al que se aleja lo olvidan y al que se muere lo entierran.
"Al que se apendeja, Dios lo deja."
Al que se ausente híncale el diente.
"Al que se ayuda, Dios lo ayuda."
Al que se junta conmigo ni en su casa lo regañan.
Al que se ha de condenar es por demás que le recen.
Al que se le necesita nada se le niega.
Al que se muere en un barco lo reclama ya el charco.
Al que te dé la gallina no le niegues el alón
"Al que te hace una, hazle dos, aunque no lo mande Dios."
"Al que te ofrece el alón, no le niegues la pechuga."
"Al que te quiere comer, almuérzale tú primero."
"Al que te quiere mal cómele el pan y al que bien, también."
"Al que teniendo cama, duerme en el suelo, no hay que tenerle duelo."
"Al que tiene caballo, le dan caballo."
"Al que tiene caballo, le ofrecen silla."
"Al que tiene mucha hambre, fiambre."
Al que tiene mucha riqueza no le faltan quebraderos de cabeza.
Al que tiene mujer hermosa o castillo en frontera
"o viña en carretera, nunca le falta guerra."
Al que tu casa sustenta dale siempre la contenta.
"Al que una vez me engaña, mal le haga Dios y ayúdele si dos."
"Al que va a la bodega por ver se le cuenta, beba o no beba."
"Al que yerra perdónale una vez más, no después."
Al saber le llaman suerte.
"Al santo que está de moda, van las mujeres todas"
"y para los cristos viejos, oscuridad y silencio."
Al toro por los cuernos y al hombre por la palabra.
"Al vino, con mucho tino, que es animal dañino."
"Al vivo todo le falta, al muerto todo le sobra."
Alaba lo grande y monta lo chico.
"Alabanza en boca propia, es vituperio."
"Alábate burro, que no hay quien te alabe."
"Alábate cola, pues nadie te alaba, alábate sola."
"Alas tenga para volar, que cebo no me ha de faltar."
"Alazán, si te lo dan; tostado, ni dado."
"Alazán tostado, antes muerto que parado."
"Alazán tostado, siempre colgado."
"Albañil sin regla, albañil de mierda."
"Albergar al vergonzoso, da más penas que gozo."
"Alborotarse lo feo, poco juicio y buen deseo."
"Albur del montón, todos al cabrón."
Aldeana es la gallina y cómala el de Sevilla.
"Alegría secreta, candela muerta."
"Algo ha de tener la fea, cuando el hombre la desea."
Algo le debe al demonio quien piensa en el matrimonio.
Algo malo tendrá el agua que hasta la bendicen.
Algo malo tiene el agua que hasta la bendicen y...
...algo tiene el aguardiente que lo maldicen.
Algún día mi gato comerá sandía.
Algún día será verano y amanecerá más temprano.
"Alhaja que tiene boca, ninguno la toca."
"Allá en San Andrés, quien parece bruto, bruto es."
"Allá van leyes, do quieren reyes."
Almíbar de esos no paren todas las yeguas.
"Almuerza bien, come más, cena poco y vivirás."
"Almuerzos, comidas y cenas, con mujeres se hacen buenas."
"Ama a quien no te ama, responde a quien no te llama..."
...y andarás carrera vana.
"Amándonos tú y yo, que revienten los mirones."
Amárrate el dedo antes de darte el tropezón.
"Amigas hasta morir, pero de prestarte, nada."
"Amigo en la adversidad, amigo de realidad. (es amigo de verdad)"
Amigo que me pediste de mi amor te despediste.
"Amigo que no da y cuchillo que no corta, que se pierdan poco importa."
"Amigo, un peso en la bolsa."
"Amigos hasta morir, pero de prestarte nada hay que decir."
"Amigos que dan parientes que no lucen al llegar, le ponen cruces."
"Amigos que no se conocen, de lejos se saludan."
Amistad que no se refleja en la nómina es pura demagogia.
"Amistad que siempre dice dame, más que amistad parece hambre."
Amor con amor se paga.
"Amor con celos, causa desvelos."
"Amor de arriero, si te vi no me acuerdo."
"Amor de gatos, en los tejados."
Amor de lejos es de pendejos.
Amor de lejos es de pen......sarse.
"Amor de mis amores, perfume de las flores."
"Amor de padre, que todo lo demás es aire."
"Amor, dinero y cuidado, no puede ser disimulado."
"Amor es el deseo ferviente y apasionado de que el ser amado,"
goce del bienestar y la felicidad total y absoluta para siempre.
Amor es nunca tener que pedir perdón.
"Amor viejo, ni te olvido ni te dejo."
"Amor viejo y camino real, nunca se dejan de andar."
Amor y aborrecimiento no quita conocimiento.
Amor y dinero a la cara salen.
"Amores, dolores y dineros no pueden estar secretos."
Anda al as y ganarás.
"Anda como el sacristán de Acámbaro, de tonto entre los músicos."
"Anda tan despacio la pereza, que siempre la alcanza la pobreza."
Anda tu camino sin la ayuda del vecino.
"Andamos como andamos, porque somos como somos."
"Andando, que el sol se mete."
Andas buscando el burro y arriba de él.
"Ande perro viejo, y me querías mear."
Ande yo caliente y ríase la gente.
"Angelitos de Dios, testiguitos del diablo."
"Anillo en el puro, ladrón seguro."
"Ante la duda, abstenerse."
Antes de entrar en espinas ponte el guarache.
"Antes de hablar, pensar."
"Antes de los treinta búscate a tu príncipe azul,"
después de los treinta busca al príncipe valiente.
"Antes de que se lo coman los gusanos,..."
...mejor que lo gocen los humanos.
"Antes de que te cases, mira lo que haces."
"Antes de que te ensillen, ensilla tú."
Antes encontrarás burro con cuernos que amiga perfecta.
Antes mis dientes que mis parientes.
"Antes que saber ganar, hay que aprender a perder."
Antes se atrapa al mentiroso que al cojo.
Antes se le cae un ojo que un peso.
Antes toman el pulso al haber que al saber.
"Antolino fue por vino y rompió el vaso en el camino,"
"pobre vaso, pobre vino y pobres nalgas de Antolino."
"Año bisiesto, ni aquello, ni esto."
Año de Carranza; porque el de Hidalgo no alcanza.
Año de Hidalgo; le cae al que deje algo.
"Año de nones, año de dones, año de pares, año de males."
"Año nuevo, vida nueva."
Año nuevo y costumbres las mismas.
Apenas están saliendo del cascarón y ya quieren poner huevos.
Apenas les dices mi alma y ya quieren casa aparte.
Apenas oyen tronar y ya quieren calabacitas.
Apenas ven el caballo y se les ofrece viaje.
Apero que se guarda se lo come la polilla.
"Apetito agudo, no deja crudo ni menudo."
Aprendiz de todo y oficial de nada.
Apriétale a la gallina el puño y ella apretará el culo.
"Aquel que anda por la sierra, cualquier día se desbarranca."
"Aquel que no crea con sentimiento, falsifica su creación y su canto."
"Aquel que parte y reparte, si en el partir tiene tino,"
"siempre lleva el muy ladino, para sí la mejor parte."
"Aquel va más sano, que anda por el llano."
"Aquí te entrego a esa mujer, trátala como mula de alquiler."
"Araña que por su hilo hacia ti cae, bienes te trae."
"Árbol que crece torcido, es por que no le pusieron palito."
"Árbol que crece torcido, jamás su tronco endereza."
"Árbol que crece torcido, pa' trepar es divertido. (sirve para columpio)"
"Aristóteles dijo que un buey voló, como puede que sí, puede que no."
Arrancada de caballo brioso y llegada de penco manso.
"Arranque de caballo fino, parada de burro flojo."
Arrastrando la cobija y ensuciando el apellido.
"Arreglado el tendejón, son las moscas."
Arriba a mi derecha; Aquí tenemos una dama doctor.
Arriba Pancho con todo su rancho.
Arriba ya del caballo hay que aguantar los reparos. (respingos)
"Arriero de un jumento, buen plato y mal testamento."
"Arriero que vende su mula, matadura segura."
Arrieros somos y en el camino andamos.
"Arrieros somos, en el camino andamos y a cada paso nos encontramos."
Arrímate a los buenos y serás uno de ellos.
"Arroz que no se menea, se quema."
"Arroz, tomate y mujer, de la Sonora han de ser."
"Aserrín, aserrán, los maderos de San Juan."
"Así comienzan los enamorados, jugando de manos..."
...y acaban en los juzgados.
"Así es la vida, unas veces de bajada y otras de subida."
Así me decía Ruperta y al cabo me la pagó.
Así pasa cuando sucede.
Asnos y mujeres a palos entienden.
Atente al bayo que es buen caballo.
Atente al santo y no corras
Atente al santo y no le reces.
"Aullido de perro, próximo entierro."
"Aullidos de perro, anuncio de muerte."
Aunque la camisa es ancha también se rompe a codazos.
"Aunque la jaula sea de oro, no deja de ser prisión."
"Aunque la mona se vista de seda, mona se queda."
Aunque le falte el resuello no te asustes porque es chata.
"Aunque lo que dicen no es, conque lo aseguren basta."
"Aunque me vista de lana, no soy oveja."
"Aunque sean del mismo barro, no es lo mismo bacín que jarro."
"Aunque somos del mismo barro, no es lo mismo catrín que charro."
Aunque te chille el marrano no le sueltes el mecate.
"Aunque te digan que sí, espérate a que lo veas."
"Aunque veas pleito ganado, vete con cuidado."
"Auténtica mamada, una cuarta abajo del ombligo."
"Ave que no vuela, que agarre ventaja."
Avientan la piedra y esconden la mano.
Aviente la piedra el que tenga la conciencia tranquila.
"Ay amada carajada, dime quién me lo pregunta,"
"que el que con pendejos se junta, en la vida tiene nada."
"Ay Diosito, si en la borrachera te ofendí,..."
...en la borrachera me sales debiendo.
"Ayer vaquero, hoy caballero."
"Ayúdate, que Dios te ayudará."
"Ayúdate, que yo te ayudaré."
"Bajo de la barba cana, vive la mujer honrada."
"Bajo la desconfianza, vive la seguridad."
Barato es el pecar y caro el enmendar.
Barba de tres colores no la tienen sino los traidores.
"Barriga llena, corazón contento."
"Barriga llena, no cree en hambre ajena."
"Bastón delgadito, reloj con piedritas y anillo en el puro, tarugo seguro."
Bayo dondequiera lo hallo.
"Beber con medida, alarga la vida."
"Beber y comer, buen pasatiempo es."
Becerra mansa a nadie cansa.
"Bendito sea Dios que con pan nos cría, porque con pasto bastaría."
"Bendito sea san Bruno, que da ciento por uno."
Berengo que compra libros es burrito que los carga.
Besando una boca se olvida la otra.
"Besos vendidos, ni dados, ni recibidos."
Bestia buena se vende sin ir a la feria.
"Bestia sin cebada, nunca buena cabalgada."
"Bien barato estaría el pan, si no lo comiera el holgazán."
"Bien canta Martha, después de harta."
Bien está lo que bien acaba.
"Bien haya lo bien parido, que ni trabajo da criarlo."
Bien juega el que no juega.
"Bien predica de ayunar, quien acaba de almorzar."
Bien predica quien bien vive.
"Bien puede predicar ayuno, quien está saciado."
Bien sabe el buen bocado.
Bien sabe el diablo a quien se le aparece.
Bien sabe la zorra a que palo se encarama.
"Bien se quien mató a mi gallo, pero aunque sepa, lo callo."
Bien vendida hasta la catedral se vende.
"Bienaventurados los borrachos por que ellos verán a Dios, doble."
"Bienes de fortuna, mudan como la luna."
"Bienvenidas las visitas, por el gusto que da cuando se van."
Boca amarga no escupe miel.
Boca de miel y manos de hiel.
Bocado comido no gana amigo.
"Bocado de mal pan, ni lo comas ni lo des a tu can."
"Boda y mortaja, del cielo baja."
"Bofetada que no has de vengar, no te la dejes dar."
"Bolsa sin dinero, llámalo cuero."
"Bonete con borla, a muchos necios adorna."
